propertyImmoCode,provinceCode,postalCode,salePrice,propertyType,propertySubtype,buildingCondition,propertySurface,landSurface,constructionYear,EPC,floors,facades,rooms,bedrooms,bathrooms,showerrooms,kitchenSurface,atticSurface,basementSurface,livingroomSurface,diningroomSurface,gardenSurface,terraceSurface,hasSwimmingpool
10167355,WHT,7160,125000,1,,,,0,,157,,,,3,,0,,,,,,,,
10167354,WHT,7973,190000,1,11,6,,1700,,629,,4,,3,1,0,,1,,1,,,,
10167353,VBR,1500,330000,2,16,2,156,,2010,119,,,,3,2,1,,,,,,,11,
10167351,WBR,1380,1750000,1,6,1,550,4600,1997,,,4,8,7,4,4,,,,,1,4600,100,
10167350,WHT,7301,110000,1,,6,,280,,592,,2,,4,1,0,6,,,25,1,,,
10167349,VAN,2170,198000,2,,5,91,,1991,252,3,,,2,1,0,,,,,,,4,
10167347,WNA,5590,349000,1,,1,183,0,,369,,4,,3,,0,,,,,,,,
10167346,VBR,1640,429000,2,15,1,151,,,396,1,2,,2,1,1,20,,1,51,,400,1,
10167345,BBR,1180,1200000,1,7,6,500,0,,,,2,,9,6,0,,,1,,,,84,
10167343,VOV,9700,298000,2,20,1,188,,,293,,2,,2,1,0,,,,,,,30,
10167342,VOV,9032,329000,2,,2,152,,2010,151,1,2,,3,1,0,,,,,,,15,
10167341,VOV,9000,249000,2,,2,62,,,162,6,2,,1,1,0,,,,,,,4,
10122763,BBR,1030,255000,2,,6,90,,1964,81,6,2,,2,1,0,9,,1,30,,,7,
10167338,VBR,3070,395000,1,,1,140,521,,257,,3,,3,1,0,12,,15,29,,,,
10167337,VAN,2018,875000,1,10,,307,215,1930,571,,2,,6,2,0,,,1,,1,,1,
10167336,WLG,4101,262500,1,7,1,202,0,,324,,,12,4,1,0,,,46,20,1,,,
10167335,VWV,8710,195000,1,,1,122,236,1963,583,,2,,3,1,0,,,,,,,,
10167334,VWV,8791,425000,1,,1,231,830,1987,203,,4,,3,2,0,,,,,,,,
10167333,VWV,8580,240000,1,,6,320,854,,,,2,,4,1,0,,,,,,,,
10167332,VAN,2600,225000,2,18,2,,,,159,,,,0,,0,,,,,,,,
10167324,VAN,2660,224000,1,,1,100,100,,781,,2,,2,1,0,,,,52,,48,,
10167323,VAN,2950,669000,1,,1,212,1000,,304,,4,,4,2,0,,,,74,,1000,60,
10167321,VAN,2140,215000,2,,1,125,,,168,5,2,,2,1,0,,,,,,,,
10167320,VAN,2140,349000,2,,2,108,,2018,88,,4,,3,1,0,,,,,,,25,
10167306,VWV,8400,259000,1,,1,148,120,,888,,,,5,,0,,1,,,,1,1,
10167303,WHT,7850,185000,1,,1,96,141,,466,,2,,2,1,0,,,1,27,,1,,
10167301,VOV,9000,295000,2,,5,112,,1958,244,,2,,2,1,0,9,,,34,,,,
10167300,VAN,2140,125000,2,,5,38,,1969,243,,2,,1,1,0,,,,17,,,7,
10091239,WLG,4420,199000,1,,,124,0,,492,,,,4,1,0,,,1,35,,,,
10060649,WBR,1310,615000,1,11,2,300,800,2010,444,,3,,4,2,4,60,,8,30,1,600,45,
10167298,VOV,9140,459000,1,1,5,137,1366,1972,1314,,4,,3,1,0,,,1,,,1,,
10167297,VOV,9400,338000,2,16,2,115,,2021,,2,4,,3,1,1,35,,9,35,,,1,
10167296,BBR,1180,495000,2,,1,166,,1964,147,6,2,,2,1,0,8,,1,45,,,7,
10167294,WLG,4101,262500,1,,2,156,198,2014,330,,2,,3,1,0,,1,,1,1,1,28,
10167293,WHT,7080,145000,2,,1,121,,2010,301,3,2,,3,2,1,9,,,34,,,,
10167289,VBR,1785,345000,1,5,6,180,750,1955,498,,4,,3,1,0,21,,13,37,,,,
10167287,WNA,5000,219000,1,,2,235,70,,293,,3,,4,1,0,,,1,,,,,
10167285,VAN,2870,227000,2,,,72,,2022,,3,3,,1,1,0,,,,29,,,9,
10098064,VBR,1640,2750000,1,11,2,900,5300,1930,255,,4,9,8,6,0,,,1,,,,1,
10167283,VOV,9500,325000,1,11,2,176,381,2023,,,3,,3,1,0,10,,,37,,,1,
10167282,VOV,9500,325000,1,11,2,176,380,2023,,,3,,3,1,0,10,,,37,,,1,
10167281,VOV,9500,319000,1,11,2,175,334,2023,,,3,,3,1,0,10,,,37,,,1,
10167280,VOV,9470,169000,1,,1,85,51,,303,,2,,2,1,0,,1,,,,,1,
10086170,VOV,9472,169000,1,,1,85,51,,303,,2,,2,1,0,,1,,,,,1,
10086171,VOV,9472,169000,2,,1,85,,,303,,2,,2,1,0,,,,,,,1,
10167262,WNA,5500,150000,1,,,176,0,,517,,,,4,,0,,,1,,,,,
10167254,WNA,5030,110000,1,,6,95,1015,,1120,,4,,1,1,0,,,1,,,1015,,
10167253,WHT,6440,195000,1,,,121,0,2022,,,,8,3,1,0,,,,,,,,
10167251,VLI,3971,499000,1,8,2,,705,,286,,4,,4,,0,,,,,,,,
