ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10128188,HOUSE,HOUSE,328330.0,148.0,3.0,Limburg,Zonhoven,Flanders,3520,2.0,FLANDERS,,,3.0,0.0,1.0,0,0
10128189,HOUSE,HOUSE,328330.0,148.0,3.0,Limburg,Zonhoven,Flanders,3520,2.0,FLANDERS,,,3.0,0.0,1.0,0,0
10128190,HOUSE,HOUSE,327829.0,148.0,3.0,Limburg,Zonhoven,Flanders,3520,2.0,FLANDERS,,,3.0,0.0,1.0,0,0
10128191,HOUSE,HOUSE,327829.0,148.0,3.0,Limburg,Zonhoven,Flanders,3520,2.0,FLANDERS,,,3.0,0.0,1.0,0,0
10128192,HOUSE,HOUSE,378242.0,148.0,3.0,Limburg,Zonhoven,Flanders,3520,2.0,FLANDERS,,,4.0,0.0,1.0,0,0
10128195,HOUSE,HOUSE,442000.0,221.0,4.0,Antwerp,Merksplas,Flanders,2330,2.0,FLANDERS,,1989.0,4.0,0.0,0.0,0,0
10128197,APARTMENT,APARTMENT,249000.0,145.0,2.0,Liège,Flemalle,Wallonie,4400,2.0,WALLONIE,,2022.0,3.0,0.0,0.0,0,1
10128198,APARTMENT,PENTHOUSE,249000.0,135.0,2.0,Liège,Flemalle,Wallonie,4400,4.0,WALLONIE,,2022.0,3.0,0.0,0.0,0,1
10128203,HOUSE,HOUSE,315000.0,156.0,4.0,Limburg,Dilsen-Stokkem,Flanders,3650,2.0,FLANDERS,,1966.0,4.0,0.0,0.0,0,0
10128207,APARTMENT,APARTMENT,350000.0,65.0,1.0,Brussels,Bruxelles,Brussels,1000,1.0,BRUSSELS,AS_NEW,2013.0,2.0,0.0,0.0,3,1
10128208,HOUSE,HOUSE,143000.0,85.0,2.0,East Flanders,Brakel,Flanders,9660,2.0,FLANDERS,GOOD,,2.0,0.0,0.0,1,0
10128209,HOUSE,HOUSE,59000.0,69.0,2.0,Namur,Andenne,Wallonie,5300,2.0,WALLONIE,TO_RENOVATE,1850.0,2.0,0.0,0.0,0,0
10128211,APARTMENT,APARTMENT,390000.0,165.0,3.0,Antwerp,Antwerp,Flanders,2018,4.0,FLANDERS,TO_BE_DONE_UP,,2.0,0.0,0.0,3,0
10128222,APARTMENT,FLAT_STUDIO,177500.0,26.0,1.0,Brussels,Bruxelles,Brussels,1000,6.0,BRUSSELS,GOOD,,2.0,0.0,0.0,0,0
10128223,HOUSE,HOUSE,220000.0,120.0,3.0,Liège,Stavelot,Wallonie,4970,2.0,WALLONIE,GOOD,,2.0,0.0,1.0,0,0
10128226,APARTMENT,APARTMENT,179000.0,86.0,2.0,East Flanders,Dendermonde,Flanders,9200,11.0,FLANDERS,,1967.0,1.0,0.0,0.0,0,0
10128228,HOUSE,HOUSE,445000.0,156.0,3.0,Antwerp,Lint,Flanders,2547,2.0,FLANDERS,,1986.0,3.0,0.0,1.0,3,0
10128229,HOUSE,HOUSE,539000.0,190.0,4.0,Antwerp,Duffel,Flanders,2570,2.0,FLANDERS,,2014.0,3.0,0.0,1.0,3,1
10128248,HOUSE,HOUSE,155000.0,96.0,2.0,Liège,Liege,Wallonie,4030,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,0,0
10128252,APARTMENT,APARTMENT,279000.0,80.0,2.0,Flemish Brabant,Sint-Pieters-Leeuw,Flanders,1600,1.0,FLANDERS,JUST_RENOVATED,1987.0,2.0,0.0,0.0,3,0
10128255,HOUSE,HOUSE,320000.0,150.0,4.0,Liège,Heron,Wallonie,4218,2.0,WALLONIE,TO_BE_DONE_UP,1954.0,4.0,0.0,1.0,0,0
10128260,HOUSE,HOUSE,345000.0,229.0,5.0,Hainaut,Tournai,Wallonie,7500,2.0,WALLONIE,AS_NEW,1950.0,2.0,0.0,0.0,1,0
10128270,APARTMENT,APARTMENT,395000.0,106.0,2.0,Antwerp,Antwerp,Flanders,2018,1.0,FLANDERS,AS_NEW,1954.0,2.0,0.0,0.0,1,0
10128271,HOUSE,HOUSE,259000.0,83.0,2.0,Antwerp,Ekeren,Flanders,2180,2.0,FLANDERS,GOOD,,2.0,0.0,1.0,0,0
10128272,APARTMENT,APARTMENT,275000.0,96.0,2.0,Hainaut,Le Roeulx,Wallonie,7070,2.0,WALLONIE,,,1.0,0.0,0.0,0,0
10128273,HOUSE,HOUSE,389000.0,200.0,5.0,Hainaut,Le Roeulx,Wallonie,7070,2.0,WALLONIE,TO_RENOVATE,,2.0,0.0,0.0,0,0
10128275,HOUSE,COUNTRY_COTTAGE,389000.0,200.0,5.0,Hainaut,Le Roeulx,Wallonie,7070,2.0,WALLONIE,TO_RENOVATE,,2.0,0.0,0.0,0,0
10128277,HOUSE,MIXED_USE_BUILDING,389000.0,200.0,5.0,Hainaut,Le Roeulx,Wallonie,7070,2.0,WALLONIE,TO_RENOVATE,,2.0,0.0,0.0,0,0
10128287,HOUSE,HOUSE,185000.0,124.0,2.0,Hainaut,Frameries,Wallonie,7080,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,1,0
10128288,APARTMENT,APARTMENT,275600.0,86.0,2.0,Brussels,Anderlecht,Brussels,1070,2.0,BRUSSELS,AS_NEW,,1.0,0.0,0.0,0,0
10128294,APARTMENT,APARTMENT,250000.0,94.0,2.0,Limburg,Tongeren,Flanders,3700,1.0,FLANDERS,AS_NEW,2009.0,3.0,0.0,1.0,1,0
10128299,HOUSE,TOWN_HOUSE,349000.0,239.0,3.0,Antwerp,Turnhout,Flanders,2300,2.0,FLANDERS,AS_NEW,2000.0,2.0,0.0,0.0,3,0
10128301,APARTMENT,APARTMENT,236215.0,68.0,2.0,West Flanders,Brugge,Flanders,8000,2.0,FLANDERS,AS_NEW,2022.0,4.0,0.0,0.0,3,1
10128302,HOUSE,HOUSE,299000.0,145.0,4.0,East Flanders,Lede,Flanders,9340,2.0,FLANDERS,AS_NEW,1952.0,3.0,0.0,1.0,1,0
10128312,HOUSE,HOUSE,485000.0,216.0,4.0,Liège,Tilff,Wallonie,4130,2.0,WALLONIE,AS_NEW,1983.0,4.0,0.0,0.0,1,0
10128313,HOUSE,HOUSE,485000.0,216.0,4.0,Liège,Beaufays,Wallonie,4052,2.0,WALLONIE,AS_NEW,1983.0,4.0,0.0,0.0,1,0
10128314,HOUSE,HOUSE,99500.0,90.0,2.0,East Flanders,Ronse,Flanders,9600,2.0,FLANDERS,TO_RENOVATE,1920.0,3.0,0.0,1.0,0,0
10128355,APARTMENT,APARTMENT,205000.0,44.0,1.0,Antwerp,Aartselaar,Flanders,2630,2.0,FLANDERS,AS_NEW,,2.0,0.0,0.0,0,0
10128365,HOUSE,HOUSE,479000.0,153.0,3.0,Flemish Brabant,Lubbeek,Flanders,3210,2.0,FLANDERS,JUST_RENOVATED,1971.0,4.0,0.0,0.0,3,0
10128369,APARTMENT,APARTMENT,239000.0,80.0,2.0,Antwerp,Deurne,Flanders,2100,2.0,FLANDERS,AS_NEW,1970.0,2.0,0.0,0.0,3,0
10128370,HOUSE,VILLA,650000.0,238.0,4.0,East Flanders,Lochristi,Flanders,9080,2.0,FLANDERS,,1995.0,4.0,0.0,0.0,1,0
10128371,HOUSE,HOUSE,75000.0,95.0,1.0,Hainaut,Leuze-En-Hainaut,Wallonie,7900,2.0,WALLONIE,TO_RENOVATE,,2.0,0.0,0.0,0,0
10128373,APARTMENT,APARTMENT,260000.0,91.0,2.0,Flemish Brabant,Leuven,Flanders,3010,2.0,FLANDERS,TO_BE_DONE_UP,1991.0,1.0,0.0,0.0,2,0
10128374,HOUSE,MANSION,368000.0,152.0,4.0,Namur,Gembloux Beuzet,Wallonie,5030,2.0,WALLONIE,GOOD,1936.0,4.0,0.0,0.0,2,0
10128375,HOUSE,TOWN_HOUSE,320000.0,151.0,2.0,Flemish Brabant,Halle,Flanders,1502,2.0,FLANDERS,TO_BE_DONE_UP,1956.0,2.0,0.0,0.0,2,0
10128376,HOUSE,HOUSE,249000.0,162.0,3.0,Antwerp,Balen,Flanders,2490,2.0,FLANDERS,GOOD,,4.0,0.0,0.0,0,0
10128378,APARTMENT,PENTHOUSE,275000.0,60.0,1.0,Brussels,Ixelles,Brussels,1050,4.0,BRUSSELS,TO_RENOVATE,1960.0,2.0,0.0,0.0,2,0
10128379,HOUSE,HOUSE,495000.0,205.0,3.0,Antwerp,Antwerpen Ekeren,Flanders,2180,2.0,FLANDERS,,1936.0,2.0,0.0,0.0,0,0
10128384,HOUSE,TOWN_HOUSE,449000.0,185.0,3.0,Flemish Brabant,Vilvoorde,Flanders,1800,2.0,FLANDERS,,1969.0,2.0,0.0,0.0,1,0
10128388,HOUSE,HOUSE,495000.0,191.0,4.0,West Flanders,Kortemark,Flanders,8610,2.0,FLANDERS,GOOD,1965.0,2.0,0.0,1.0,3,0
10128392,HOUSE,HOUSE,365000.0,143.0,4.0,Antwerp,SINT-KATELIJNE-WAVER,Flanders,2860,2.0,FLANDERS,TO_RENOVATE,1941.0,3.0,0.0,1.0,0,0
10128396,HOUSE,VILLA,749000.0,258.0,4.0,Walloon Brabant,Waterloo,Wallonie,1410,2.0,WALLONIE,JUST_RENOVATED,1971.0,4.0,0.0,1.0,3,0
10128401,HOUSE,HOUSE,375000.0,131.0,3.0,Flemish Brabant,Haacht,Flanders,3150,2.0,FLANDERS,GOOD,1976.0,4.0,0.0,0.0,1,0
10128402,HOUSE,HOUSE,449000.0,273.0,4.0,Flemish Brabant,Boutersem,Flanders,3370,2.0,FLANDERS,GOOD,1974.0,4.0,0.0,0.0,1,0
10128405,APARTMENT,DUPLEX,258000.0,87.0,2.0,Flemish Brabant,Vilvoorde,Flanders,1800,2.0,FLANDERS,GOOD,2013.0,2.0,0.0,0.0,1,1
10128407,APARTMENT,APARTMENT,199000.0,72.0,1.0,Antwerp,Zoersel,Flanders,2980,2.0,FLANDERS,,2002.0,4.0,0.0,0.0,0,0
10128409,APARTMENT,APARTMENT,268500.0,116.0,3.0,Brussels,Anderlecht,Brussels,1070,3.0,BRUSSELS,TO_BE_DONE_UP,1965.0,3.0,0.0,0.0,2,0
10128420,HOUSE,HOUSE,484200.0,192.0,3.0,Flemish Brabant,Hoeilaart,Flanders,1560,2.0,FLANDERS,AS_NEW,,3.0,0.0,0.0,3,0
